Dataset accession,Dataset description,Dataset name,Study,Database,URL
pht003418,Specimen Draws - details regarding specimen collections,spec_draws_rel4,phs000200,whi,https://www.whi.org/dataset/909
pht002982,"The WHI GARNET sample attributes data table includes sample ID, sample analyte type (DNA), body site where samples were collected, tumor status, and histological site.",WHI_GARNET_Sample_Attributes,phs000315,whi,
pht003404,Outcomes - Cancer (Form 122/130),outc_cancer_rel4,phs000200,whi,https://www.whi.org/dataset/1031
pht001001,"Form 32 - Family History Questionnaire -- number of full-blooded sisters and brothers, daughters, and sons; parental age or date of death; relatives' history of' diabetes, myocardial infarction, stroke, cancers; fractures in parents (site, age). This self-administered questionnaire was required for all OS participants.",f32_rel1,phs000200,whi,https://www.whi.org/dataset/1050
pht006260,Repeated measures at one year were available for case and controls in the hormone trials (HT).,METABS_ONE_YEAR,phs001334,whi,
pht006219,"Aging (Survival) (Main, Ext1, Ext2)",outc_aging_ctos_rel1,phs000200,whi,https://www.whi.org/dataset/956
pht006214,Form 155 - Lifestyle Questionnaire (Ext2),f155_rel1,phs000200,whi,https://www.whi.org/dataset/1167
pht006215,Form 156 - Eating Habits Supplemental Questionnaire (Ext2),f156_rel1,phs000200,whi,https://www.whi.org/dataset/1321
pht003407,"Outcomes - Clinical Trials (CT) + Observational Study (OS) Adjudicated data file. Verified outcomes for OS and CT include all cancers, fractures (all fractures for CT; hip fracture only for OS), and cardiovascular outcomes, except DVT and PE. DVT and PE are only verified for HT participants. The outcomes for which central adjudication is required for all OS and CT participants are hip fracture, in situ breast, invasive breast, colon, endometrium, ovary, rectosigmoid junction and rectum cancers. In addition, for CT participants, central adjudication is required for death. MI, Stroke, DVT, and PE are centrally adjudicated for HT participants only.",outc_ct_os_rel4,phs000200,whi,
pht006556,"The BA23 in WHI blood methylation sample attributes data table includes pull IDs, plate ID, methylation array ID, array position, body site where sample was collected, analyte type, histology type, and tumor status.",BA23_Methylation_Sample_Attributes,phs001335,whi,
pht000997,"Form 20 - Personal Information --education; employment status; occupation; marital status; partner's education, employment status, occupation; total family income; recent history of mammogram, pelvic exam, endometrial aspiration; insurance coverage; serve in armed services. This self-administered questionnaire was required for all OS participants.",f20_rel1,phs000200,whi,https://www.whi.org/dataset/458
pht003395,"WHI Extension Membership -- includes subjects who are enrolled in the WHI Extension, days since main study randomization or enrollment to WHI Extension, and years in WHI since the start of WHI Extension.",ext_rel2,phs000200,whi,https://www.whi.org/dataset/575
pht003399,Participant Follow-Up Status History (WHI Main Study and Extension),fust_rel3,phs000200,whi,
pht003398,"Form 45 - Current Supplements - current supplement name; vitamin and mineral type, dose, frequency, duration. This form was required for all OS participants. Data from Form 45 include daily nutrient intake from multivitamins and single supplements and types of supplements taken. The average intake per day from combination and/or single supplements for 25 nutrients has been calculated. In addition, variables indicating use of any type of supplement, multivitamins with or without minerals, stress tabs or other combination supplements are included.",f45_rel2,phs000200,whi,https://www.whi.org/dataset/684
pht001514,"Form 134 - Addendum to Medical History Update -- Parkinson's disease, sugar diabetes or high blood sugar when subject was not pregnant.",f134_rel1,phs000200,whi,https://www.whi.org/dataset/457
pht003413,"Extension Study 2, Self Reported, Non-Adjudicated Outcomes for MRC Participants (data through September 17, 2012)",outc_self_x2_mrc_rel1,phs000200,whi,
pht002769,Outcomes - Calcium and Vitamin D (CaD) Trial Self-Reported data file,outc_self_cad_rel3,phs000200,whi,
pht000998,"Form 2 - Eligibility Screen -- name; mailing address; telephone numbers and best times to call; date of birth; residing in area for next three years; current involvement in other research studies; history of cancer (site, diagnosis in past 10 years); ethnicity; recruitment source; hormone use (present, in last three months); osteoporosis-related fracture and hormone use as treatment; hysterectomy history; last menstrual bleeding; number of meals prepared away from home; special diets (type); history of diabetes, deep vein thrombosis, pulmonary embolus, stroke, transient ischemic attack, myocardial infarction; history of sickle cell anemia, heart failure, liver disease, bleeding problem; loss of 15 pounds in last six months; renal failure requiring hemodialysis; other chronic illness; emotional or mental problems; ability to get to clinical center; interest in DM; interest in HRT (willingness to stop current hormone medications).",f2_rel1,phs000200,whi,https://www.whi.org/dataset/1581
pht006212,CaD Medication Adherence (Main),adh_cad_rel1,phs000200,whi,https://www.whi.org/dataset/889
pht003415,"Outcomes - Stroke/Carotid Artery Disease (Form 121/132), data for Calcium and Vitamin D (CaD) Trial",outc_strk_carotid_cad_rel4,phs000200,whi,https://www.whi.org/dataset/605
