Variable accession,Variable name,Variable description,Type,Dataset accession,Dataset name,Study,Database
phv00218989,sidno,SHARE ID Number,NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218990,rbc5,RED BLOOD CELL (RBC) (x10E6/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218991,plt5,PLATELETS (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218992,hct5,HEMATOCRIT (%),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218993,hgb5,HEMOGLOBIN (g/dL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218994,mch5,MEAN CORPUSCULAR HEMOGLOBIN (MCH) (pg),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218995,mchc5,MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION (MCHC) (g/dL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218996,mcv5,MEAN CORPUSCULAR VOLUME (MCV) (fL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218997,wbc5,WHITE BLOOD CELL COUNT (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218998,lymphsa5,LYMPHOCYTES (ABSOLUTE) (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00218999,polysa5,NEUTROPHILS (ABSOLUTE) (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00219000,monosa5,MONOCYTES(ABSOLUTE) (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00219001,eosa5,EOSINOPHILS (ABSOLUTE) (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00219002,basosa5,BASOPHIL (ABSOLUTE) (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
